"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"1400000US36085001100","Census Tract 11, Richmond County, New York","3987","3802","1496","1511","8","164","7","616","185","165","47","4","14","3","49","14","3","0","19","0","0","0","0","12","0","13","9","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085001700","Census Tract 17, Richmond County, New York","1788","1730","936","308","17","178","0","291","58","54","15","1","14","0","12","2","1","0","1","1","0","6","0","1","0","4","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085001800","Census Tract 18, Richmond County, New York","731","698","568","76","16","6","6","26","33","22","3","3","4","2","4","1","3","0","2","0","0","0","0","0","0","11","7","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085002001","Census Tract 20.01, Richmond County, New York","2504","2466","1984","94","4","286","3","95","38","37","5","2","3","0","17","3","0","0","3","0","0","0","2","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085002002","Census Tract 20.02, Richmond County, New York","3258","3196","2562","125","5","383","0","121","62","53","6","4","12","2","13","1","3","4","4","1","0","0","0","3","0","9","2","0","0","0","0","0","0","4","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085002100","Census Tract 21, Richmond County, New York","4236","4033","1610","1417","70","320","9","607","203","176","37","4","15","1","53","20","9","1","23","6","1","3","0","0","3","22","7","1","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0","1","8","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085002700","Census Tract 27, Richmond County, New York","2217","2131","937","626","24","61","4","479","86","82","19","1","2","0","36","6","5","1","5","2","0","5","0","0","0","3","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"1400000US36085002900","Census Tract 29, Richmond County, New York","5207","4955","1105","2742","63","167","0","878","252","222","68","6","13","2","51","18","6","2","35","1","2","8","0","3","7","28","16","0","0","1","3","0","1","0","0","1","0","0","0","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0"
"1400000US36085003300","Census Tract 33, Richmond County, New York","3402","3231","1855","798","37","286","2","253","171","150","37","6","20","2","42","20","3","0","15","0","0","0","0","5","0","18","4","1","0","1","0","0","0","2","0","5","0","0","0","0","5","0","0","0","0","0","3","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085003600","Census Tract 36, Richmond County, New York","2510","2438","1598","106","18","487","2","227","72","70","11","4","20","0","13","6","2","0","1","0","0","0","0","11","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
