"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier"
"1400000US36103159508","Census Tract 1595.08, Suffolk County, New York","2866","75","36","38","16","26","322","141","153","113","474","224","627","202","396","171","449","168","270","122","123","91"
"1400000US36103159509","Census Tract 1595.09, Suffolk County, New York","1369","58","0","12","34","55","53","45","68","53","116","88","302","128","270","108","146","91","101","55","279","89"
"1400000US36103159510","Census Tract 1595.10, Suffolk County, New York","1960","30","10","10","19","13","101","28","60","20","92","26","472","57","538","59","392","50","106","26","170","30"
"1400000US36103159511","Census Tract 1595.11, Suffolk County, New York","2357","68","78","87","24","33","273","123","262","128","142","65","883","212","251","122","267","133","102","69","75","56"
"1400000US36103159512","Census Tract 1595.12, Suffolk County, New York","747","29","0","12","0","12","89","44","68","35","60","32","230","67","149","59","68","38","73","37","10","11"
"1400000US36103159601","Census Tract 1596.01, Suffolk County, New York","2511","32","41","48","56","68","438","158","212","119","235","116","343","141","308","127","277","141","211","149","390","174"
"1400000US36103159602","Census Tract 1596.02, Suffolk County, New York","1699","64","0","12","53","46","214","86","103","50","247","99","460","119","186","82","67","52","64","54","305","101"
"1400000US36103169701","Census Tract 1697.01, Suffolk County, New York","3181","173","107","85","16","24","500","167","556","199","195","89","585","196","300","108","562","200","20","31","340","126"
"1400000US36103169703","Census Tract 1697.03, Suffolk County, New York","1268","54","18","23","0","12","152","71","318","70","275","68","160","63","84","42","144","56","89","48","28","27"
"1400000US36103169704","Census Tract 1697.04, Suffolk County, New York","3719","229","13","23","87","62","825","189","679","229","888","251","362","144","412","184","114","101","37","33","302","140"
